Hospital Name,Address,City,State,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating
NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,HAWAII,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,Acute Care Hospitals,Voluntary non-profit - Private,True,1.0
OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,Acute Care Hospitals,Voluntary non-profit - Church,True,4.0
KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,DEKALB,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
MERCY MEDICAL CENTER-CENTERVILLE,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,APPANOOSE,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
ALLEN COUNTY REGIONAL HOSPITAL,3066 NORTH KENTUCKY STREET,IOLA,KS,66749,ALLEN,Critical Access Hospitals,Proprietary,True,2.0
SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,FAYETTE,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
HARRISON MEMORIAL HOSPITAL,1210 KY HWY 36 E,CYNTHIANA,KY,41031,HARRISON,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
BAPTIST HEALTH CORBIN,ONE TRILLIUM WAY,CORBIN,KY,40701,KNOX,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CHRISTUS ST PATRICK HOSPITAL,524 DR MICHAEL DEBAKEY STREET,LAKE CHARLES,LA,70601,CALCASIEU,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
MINDEN MEDICAL CENTER,NO 1 MEDICAL PLAZA,MINDEN,LA,71055,WEBSTER,Acute Care Hospitals,Proprietary,True,4.0
AROOSTOOK MEDICAL CENTER,PO BOX 151,PRESQUE ISLE,ME,4769,AROOSTOOK,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,ME,4401,PENOBSCOT,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
ST MARYS REGIONAL MEDICAL CENTER,CAMPUS AVENUE - PO BOX 7291,LEWISTON,ME,4240,ANDROSCOGGIN,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
WALDO COUNTY GENERAL HOSPITAL,PO BOX 287,BELFAST,ME,4915,WALDO,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,ESSEX,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
EMERSON HOSPITAL,OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,1742,MIDDLESEX,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,LUDINGTON,MI,49431,MASON,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,GENESEE,Acute Care Hospitals,Voluntary non-profit - Other,True,1.0
ST JOSEPH MERCY HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,MI,48106,WASHTENAW,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,GENESEE,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
"BEAUMONT HOSPITAL, TROY",44201 DEQUINDRE ROAD,TROY,MI,48085,OAKLAND,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,DETROIT,MI,48201,WAYNE,Acute Care Hospitals,Proprietary,True,1.0
HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,MI,48382,OAKLAND,Acute Care Hospitals,Proprietary,True,3.0
KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,MS,39601,LINCOLN,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,ADAMS,Acute Care Hospitals,Proprietary,True,2.0
BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
UNIVERSITY OF MISSOURI HEALTH CARE,ONE HOSPITAL DRIVE,COLUMBIA,MO,65212,BOONE,Acute Care Hospitals,Government - State,True,2.0
SAINT FRANCIS MEDICAL CENTER,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,63703,CAPE GIRARDEAU,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
CHI HEALTH GOOD SAMARITAN,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,68848,BUFFALO,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,DOUGLAS,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
JEFFERSON COMMUNITY HEALTH CENTER,"P O BOX 277, 2200 H ST",FAIRBURY,NE,68352,JEFFERSON,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
BOONE COUNTY HEALTH CENTER,"P O BOX 151, 723 WEST FAIRVIEW ST",ALBION,NE,68620,BOONE,Critical Access Hospitals,Government - Local,True,4.0
HOWARD COUNTY MEDICAL CENTER,"P O BOX 406, 1113 SHERMAN ST",ST PAUL,NE,68873,HOWARD,Critical Access Hospitals,Voluntary non-profit - Other,True,3.0
CHERRY COUNTY HOSPITAL,"P O BOX 410, 510 NORTH GREEN ST",VALENTINE,NE,69201,CHERRY,Critical Access Hospitals,Government - Local,True,3.0
PENDER COMMUNITY HOSPITAL,"P O BOX 100, 100 HOSPITAL DRIVE",PENDER,NE,68047,THURSTON,Critical Access Hospitals,Government - Hospital District or Authority,True,4.0
"COMMUNITY MEDICAL CENTER, INC","P O BOX 399, 3307 BARADA ST",FALLS CITY,NE,68355,RICHARDSON,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
BOX BUTTE GENERAL HOSPITAL,"P O BOX 810, 2101 BOX BUTTE AVE",ALLIANCE,NE,69301,BOX BUTTE,Critical Access Hospitals,Government - Local,True,3.0
LEXINGTON REGIONAL HEALTH CENTER,"P O BOX 980, 1201 NORTH ERIE ST",LEXINGTON,NE,68850,DAWSON,Critical Access Hospitals,Government - Hospital District or Authority,True,3.0
COMMUNITY HOSPITAL,"P O BOX 1328, 1301 EAST H ST",MCCOOK,NE,69001,RED WILLOW,Critical Access Hospitals,Voluntary non-profit - Other,True,4.0
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC","P O BOX 278, 4800 HOSPITAL PARKWAY",BEATRICE,NE,68310,GAGE,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,89052,CLARK,Acute Care Hospitals,Voluntary non-profit - Private,True,1.0
CLARA MAASS MEDICAL CENTER,ONE CLARA MAAS DRIVE,BELLEVILLE,NJ,7109,ESSEX,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE-FIVE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,MIDDLESEX,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,8210,CAPE MAY,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,7701,MONMOUTH,Acute Care Hospitals,Proprietary,True,3.0
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,8901,MIDDLESEX,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,8534,MERCER,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,ESSEX,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,8690,MERCER,Acute Care Hospitals,Voluntary non-profit - Private,True,1.0
NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,SHIPROCK,NM,87420,SAN JUAN,Acute Care Hospitals,Government - Federal,True,2.0
MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,Acute Care Hospitals,Voluntary non-profit - Private,True,1.0
AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,QUEENS,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
CATSKILL REGIONAL MEDICAL CENTER,68 HARRIS BUSHVILLE ROAD,HARRIS,NY,12742,SULLIVAN,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,Acute Care Hospitals,Government - State,True,2.0
DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,Acute Care Hospitals,Proprietary,True,4.0
NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,FORSYTH,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
GRANVILLE HEALTH SYSTEMS,COLLEGE ST BOX 947,OXFORD,NC,27565,GRANVILLE,Acute Care Hospitals,Government - Local,True,3.0
MARIA PARHAM MEDICAL CENTER,PO BOX 59,HENDERSON,NC,27536,VANCE,Acute Care Hospitals,Proprietary,True,2.0
CATAWBA VALLEY MEDICAL CENTER,810 FAIRGROVE CHURCH RD,HICKORY,NC,28602,CATAWBA,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
CARRINGTON HEALTH CENTER,PO BOX 461,CARRINGTON,ND,58421,FOSTER,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
ATRIUM MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,FRANKLIN,OH,45005,WARREN,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
LAKE HEALTH,7590 AUBURN ROAD,CONCORD,OH,44077,LAKE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
NORTHSIDE MEDICAL CENTER,500 GYPSY LANE,YOUNGSTOWN,OH,44501,MAHONING,Acute Care Hospitals,Proprietary,True,2.0
MCALESTER REGIONAL HEALTH CENTER AUTHORITY,ONE CLARK BASS BOULEVARD,MCALESTER,OK,74501,PITTSBURG,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
STILLWATER MEDICAL CENTER,1323 WEST 6TH STREET,STILLWATER,OK,74076,PAYNE,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
GRADY MEMORIAL HOSPITAL,2220 IOWA STREET,CHICKASHA,OK,73018,GRADY,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
ST ANTHONY HOSPITAL,2801 ST ANTHONY WAY,PENDLETON,OR,97801,UMATILLA,Critical Access Hospitals,Voluntary non-profit - Church,True,4.0
EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,LEWISBURG,PA,17837,UNION,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
GOOD SAMARITAN HOSPITAL,FOURTH AND WALNUT STREETS,LEBANON,PA,17042,LEBANON,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
ROBERT PACKER HOSPITAL,ONE GUTHRIE SQUARE,SAYRE,PA,18840,BRADFORD,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
UPMC HAMOT,201 STATE STREET,ERIE,PA,16550,ERIE,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CLARION HOSPITAL,ONE HOSPITAL DRIVE,CLARION,PA,16214,CLARION,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,PHILADELPHIA,PA,19104,PHILADELPHIA,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,WARREN,PA,16365,WARREN,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
MERCY FITZGERALD HOSPITAL,LANSDOWNE & BAILY RDS,DARBY,PA,19023,DELAWARE,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,PA,16201,ARMSTRONG,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
BUTLER MEMORIAL HOSPITAL,ONE HOSPITAL WAY,BUTLER,PA,16001,BUTLER,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND,PA,19013,DELAWARE,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
EXCELA HEALTH LATROBE HOSPITAL,ONE MELLON WAY,LATROBE,PA,15650,WESTMORELAND,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
ST MARY MEDICAL CENTER,LANGHORNE-NEWTOWN RD,LANGHORNE,PA,19047,BUCKS,Acute Care Hospitals,Voluntary non-profit - Church,True,4.0
"ASOCIACION HOSPITAL DEL MAESTRO, INC",SERGIO CUEVAS BUSTAMANTE STREET 550,SAN JUAN,PR,936,SAN JUAN,Acute Care Hospitals,Voluntary non-profit - Other,True,2.0
AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 36 1/2 #735,HATO REY,PR,918,SAN JUAN,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
HOSPITAL PAVIA SANTURCE,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,FERNANDEZ JUNCOS,PR,910,SAN JUAN,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
HOSPITAL DE LA CONCEPCION,ROAD NUMBER 2 KM 173.4 CAIN ALTO,SAN GERMAN,PR,683,SAN GERMAN,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
HOSPITAL DAMAS INC,PONCE BY PASS #2213,PONCE,PR,717,PONCE,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
HOSPITAL HERMANOS MELENDEZ INC,CARRETERA #2 KM 11 7,BAYAMON,PR,960,BAYAMON,Acute Care Hospitals,Proprietary,True,2.0
SAN LUKE'S MEMORIAL HOSPITAL INC,TITO CASTRO AVE #917,PONCE,PR,733,PONCE,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
HOSPITAL DR CAYETANO COLL Y TOSTE,CARRETERA 129 KM.1 AVENIDA SAN LUIS,ARECIBO,PR,613,ARECIBO,Acute Care Hospitals,Proprietary,True,1.0
METROPOLITAN HOSPITAL,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,PR,915,SAN JUAN,Acute Care Hospitals,Proprietary,True,1.0
HIMA SAN PABLO BAYAMON,CALLE SANTA CRUZ NUMERO 70  URB SANTA CRUZ,BAYAMON,PR,961,BAYAMON,Acute Care Hospitals,Proprietary,True,2.0
MANATI MEDICAL CENTER DR OTERO LOPEZ,CALLE HERNANDEZ CARRION URB ATENAS,MANATI,PR,674,MANATI,Acute Care Hospitals,Proprietary,True,2.0
"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47 7",MANATI,PR,674,MANATI,Acute Care Hospitals,Proprietary,True,2.0
HIMA SAN PABLO-CAGUAS,AVE LUIS MUNOZ MARIN,CAGUAS,PR,725,CAGUAS,Acute Care Hospitals,Proprietary,True,2.0
NEWPORT HOSPITAL,FRIENDSHIP STREET,NEWPORT,RI,2840,NEWPORT,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
BAPTIST EASLEY HOSPITAL,PO BOX 2129,EASLEY,SC,29641,PICKENS,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ST FRANCIS-DOWNTOWN,ONE ST FRANCIS DR,GREENVILLE,SC,29601,GREENVILLE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
TRMC OF ORANGEBURG & CALHOUN,3000 ST MATTHEWS RD BOX 1806,ORANGEBURG,SC,29115,ORANGEBURG,Acute Care Hospitals,Government - Local,True,2.0
PALMETTO HEALTH BAPTIST,TAYLOR AT MARION ST,COLUMBIA,SC,29220,RICHLAND,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
WACCAMAW COMMUNITY HOSPITAL,4070 HIGHWAY 17 BYPASS,MURRELLS INLET,SC,29576,GEORGETOWN,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
PALMETTO HEALTH BAPTIST PARKRIDGE,400 PALMETTO HEALTH PARKWAY,COLUMBIA,SC,29212,LEXINGTON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
UNICOI COUNTY MEMORIAL HOSPITAL,GREENWAY CIRCLE,ERWIN,TN,37650,UNICOI,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
TRISTAR SKYLINE MEDICAL CENTER,3441 DICKERSON PIKE,NASHVILLE,TN,37207,DAVIDSON,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,SULLIVAN,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE,HWY 43 S BOX 847,LAWRENCEBURG,TN,38464,LAWRENCE,Acute Care Hospitals,Proprietary,True,4.0
PAMPA REGIONAL MEDICAL CENTER,1 MEDICAL PLAZA,PAMPA,TX,79065,GRAY,Acute Care Hospitals,Proprietary,True,3.0
SOUTH TEXAS REGIONAL MEDICAL CENTER,1905 HWY 97 EAST,JOURDANTON,TX,78026,ATASCOSA,Acute Care Hospitals,Proprietary,True,3.0
GULF COAST MEDICAL CENTER,10141 US 59 NORTH,WHARTON,TX,77488,WHARTON,Acute Care Hospitals,Proprietary,True,3.0
TEXOMA MEDICAL CENTER,5016 S US HIGHWAY 75,DENISON,TX,75020,GRAYSON,Acute Care Hospitals,Proprietary,True,2.0
CHILDRESS REGIONAL MEDICAL CENTER,HWY 83 NORTH,CHILDRESS,TX,79201,CHILDRESS,Acute Care Hospitals,Government - Hospital District or Authority,True,4.0
MEMORIAL MEDICAL CENTER LIVINGSTON,1717 HWY 59 BYPASS,LIVINGSTON,TX,77351,POLK,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
SETON HIGHLAND LAKES,HIGHWAY 281 SOUTH,BURNET,TX,78611,BURNET,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,MURRAY,UT,84107,SALT LAKE,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
THE ORTHOPEDIC SPECIALTY HOSPITAL,5848 SOUTH 300 EAST,MURRAY,UT,84107,SALT LAKE,Acute Care Hospitals,Voluntary non-profit - Private,False,4.0
CENTRAL VERMONT MEDICAL CENTER,BOX 547,BARRE,VT,5641,WASHINGTON,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
SPRINGFIELD HOSPITAL,PO BOX 2003,SPRINGFIELD,VT,5156,WINDSOR,Critical Access Hospitals,Voluntary non-profit - Private,True,2.0
UNIVERSITY OF VIRGINIA MEDICAL CENTER,JEFFERSON PARK AVE,CHARLOTTESVILLE,VA,22908,CHARLOTTESVILLE CITY,Acute Care Hospitals,Government - State,True,2.0
INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,VA,22042,FAIRFAX,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
LEWISGALE HOSPITAL ALLEGHANY,ONE ARH LANE - PO BOX 7,LOW MOOR,VA,24457,ALLEGHANY,Acute Care Hospitals,Proprietary,True,3.0
DEACONESS HOSPITAL,W 800 FIFTH AVENUE,SPOKANE,WA,99210,SPOKANE,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
WEST VIRGINIA UNIVERSITY HOSPITALS,MEDICAL CENTER DRIVE,MORGANTOWN,WV,26506,MONONGALIA,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
